轮次,场序,日期,星期,开球时间,主队,客队,体育场,主队得分,客队得分
第1轮,1,5月10日,六,15:00,镇江市,扬州市,镇江市体育会展中心体育场,3,2
第1轮,2,5月10日,六,15:30,常州市,连云港市,常州工学院体育场,0,2
第1轮,3,5月10日,六,15:30,泰州市,无锡市,泰州市体育公园体育场,2,0
第1轮,4,5月10日,六,15:00,苏州市,宿迁市,苏州市体育中心体育场,2,2
第1轮,5,5月11日,日,16:00,徐州市,盐城市,徐州市体育中心体育场,1,1
第1轮,6,5月11日,日,19:30,南京市,南通市,江苏省五台山体育中心体育场,1,2
第2轮,7,5月24日,六,15:30,连云港市,南京市,连云港市体育中心体育场,0,3
第2轮,8,5月24日,六,15:00,盐城市,泰州市,盐城奥体中心体育场,3,0
第2轮,9,5月24日,六,15:30,南通市,常州市,南通大学西操场,2,0
第2轮,10,5月18日,日,15:00,淮安市,镇江市,淮安市体育中心体育场,4,0
第2轮,11,5月25日,日,16:00,宿迁市,徐州市,宿迁市奥体中心体育场,1,1
第3轮,13,5月31日,六,15:00,镇江市,宿迁市,镇江市体育会展中心体育场,0,2
第3轮,14,5月31日,六,15:30,常州市,扬州市,常州工学院体育场,0,1
第3轮,15,5月31日,六,16:00,徐州市,连云港市,徐州奥体中心体育场,2,1
第3轮,16,6月1日,日,15:00,盐城市,淮安市,盐城奥体中心体育场,1,0
第3轮,17,6月1日,日,15:30,泰州市,南通市,泰州市体育公园体育场,0,4
第3轮,18,6月1日,日,19:30,南京市,无锡市,江苏省五台山体育中心体育场,1,0
第4轮,19,6月14日,六,15:00,淮安市,南京市,淮安市体育中心体育场,1,1
第4轮,20,6月21日,六,16:00,宿迁市,盐城市,宿迁市奥体中心体育场,0,1
第4轮,21,6月14日,六,15:00,扬州市,泰州市,扬州体育公园体育场,1,1
第4轮,22,6月15日,日,19:00,连云港市,苏州市,连云港市体育中心体育场,1,1
第4轮,23,6月15日,日,16:00,徐州市,镇江市,徐州奥体中心体育场,1,0
第4轮,24,6月15日,日,19:30,无锡市,常州市,江阴市体育中心体育场,2,0
第5轮,25,6月28日,六,19:00,连云港市,淮安市,连云港市体育中心体育场,2,0
第5轮,26,6月21日,六,19:00,常州市,南京市,常州奥体中心体育场,0,4
第5轮,27,6月28日,六,19:30,盐城市,镇江市,盐城奥体中心体育场,2,0
第5轮,28,6月29日,日,19:30,泰州市,徐州市,泰州市体育公园体育场,1,2
第5轮,29,6月29日,日,19:00,苏州市,扬州市,昆山奥体中心体育场,3,0
第5轮,30,6月29日,日,19:30,南通市,宿迁市,南通足球训练中心海门基地,4,0
第6轮,31,7月5日,六,17:00,徐州市,南通市,徐州奥体中心体育场,1,2
第6轮,32,7月5日,六,19:00,扬州市,无锡市,扬州体育公园体育场,0,2
第6轮,33,7月5日,六,19:30,南京市,苏州市,南京奥体中心体育场,0,0
第6轮,34,7月6日,日,19:30,镇江市,泰州市,镇江市体育会展中心体育场,0,2
第6轮,35,7月6日,日,19:30,淮安市,常州市,淮安市体育中心体育场,0,0
第6轮,36,7月6日,日,19:30,宿迁市,连云港市,宿迁市奥体中心体育场,2,2
第7轮,37,7月19日,六,19:30,泰州市,宿迁市,泰州市体育公园体育场,1,0
第7轮,38,7月20日,日,19:00,苏州市,镇江市,苏州市体育中心体育场,4,0
第7轮,39,7月19日,六,19:30,南通市,盐城市,南通足球训练中心海门基地,2,1
第7轮,40,7月20日,日,19:00,常州市,徐州市,常州奥体中心体育场,0,2
第7轮,41,7月20日,日,19:00,扬州市,南京市,扬州体育公园体育场,1,5
第7轮,42,7月20日,日,19:30,无锡市,淮安市,江阴市体育中心体育场,1,2
第8轮,43,8月2日,六,19:30,镇江市,南通市,镇江市体育会展中心体育场,0,3
第8轮,44,8月2日,六,19:30,淮安市,苏州市,淮安市体育中心体育场,3,0
第8轮,45,8月2日,六,17:00,徐州市,扬州市,徐州奥体中心体育场,2,1
第8轮,46,8月3日,日,19:00,连云港市,泰州市,连云港市体育中心体育场,2,3
第8轮,47,8月3日,日,19:30,盐城市,常州市,盐城奥体中心体育场,5,0
第8轮,48,8月3日,日,19:30,宿迁市,无锡市,宿迁市奥体中心体育场,0,1
第9轮,49,8月16日,六,19:00,常州市,镇江市,常州奥体中心体育场,1,0
第9轮,50,8月16日,六,19:00,苏州市,泰州市,苏州市体育中心体育场,1,1
第9轮,51,8月16日,六,19:30,无锡市,徐州市,宜兴市体育中心体育场,3,3
第9轮,52,8月17日,日,19:00,扬州市,淮安市,扬州体育公园体育场,1,0
第9轮,53,8月17日,日,19:30,南京市,盐城市,南京奥体中心体育场,3,2
第9轮,54,8月17日,日,19:30,南通市,连云港市,南通足球训练中心海门基地,5,0
第10轮,55,8月30日,六,19:30,盐城市,无锡市,盐城奥体中心体育场,,
第10轮,56,8月30日,六,19:30,宿迁市,淮安市,宿迁市奥体中心体育场,,
第10轮,57,8月30日,六,19:30,泰州市,常州市,泰州市体育公园体育场,,
第10轮,58,8月31日,日,19:30,镇江市,南京市,镇江市体育会展中心体育场,,
第10轮,59,8月31日,日,19:00,连云港市,扬州市,连云港市体育中心体育场,,
第10轮,60,8月31日,日,19:30,南通市,苏州市,南通足球训练中心海门基地,,
第11轮,61,9月6日,六,19:00,扬州市,南通市,扬州体育公园体育场,,
第11轮,62,9月6日,六,19:30,无锡市,连云港市,江阴市体育中心体育场,,
第11轮,63,9月6日,六,19:30,南京市,徐州市,南京奥体中心体育场,,
第11轮,64,9月7日,日,19:30,淮安市,泰州市,淮安市体育中心体育场,,
第11轮,65,9月13日,日,19:00,常州市,宿迁市,常州奥体中心体育场,,
第11轮,66,9月7日,日,19:00,苏州市,盐城市,苏州市体育中心体育场,,
