排名,球队,当前积分,已赛场次,剩余场次,胜,平,负,当前Elo评分,预测最终积分,季后赛概率(%),四强概率(%),夺冠概率(%)
1,南通,24,8,4,8,0,0,1609.6,31.2,100.0,77.4,40.4
2,南京,17,8,4,5,2,1,1558.0,23.6,100.0,66.0,17.6
3,盐城,16,8,4,5,1,2,1540.5,22.2,100.0,66.1,14.3
4,徐州,18,9,3,5,3,1,1548.6,21.6,100.0,60.5,11.8
5,泰州,14,9,3,4,2,3,1523.6,19.2,99.8,43.3,6.3
6,淮安,11,8,4,3,2,3,1497.5,16.0,84.5,25.9,2.9
7,无锡,10,7,5,3,1,3,1503.9,15.4,71.1,20.7,2.5
8,苏州,10,7,5,2,4,1,1508.4,15.2,81.8,24.5,2.9
9,连云港,8,8,4,2,2,4,1471.8,13.4,47.7,11.9,1.0
10,扬州,7,8,4,2,1,5,1458.7,11.5,9.2,2.4,0.2
11,宿迁,6,8,4,1,3,4,1454.7,11.1,5.9,1.4,0.1
12,镇江,3,9,3,1,0,8,1406.3,6.7,0.1,0.0,0.0
13,常州,4,9,3,1,1,7,1418.5,6.5,0.0,0.0,0.0
